ToPad;Continent;Country;Gender;Month;Number of Records;Sub type;Padded;Total;Type of Moving;viz
49;Australia;New Zealand;Female;January;1;First time for travelling;49;7;By themselves;Region
49;Australia;Papua New Guinea;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Australia;Australia;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Australia;New Zealand;Female;July;1;First time for travelling;49;7;By themselves;Region
49;Australia;Papua New Guinea;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Australia;Australia;Female;June;1;First time for travelling;49;;By themselves;Region
49;Australia;Australia;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Australia;New Zealand;Female;June;1;First time for travelling;49;;By themselves;Region
49;Australia;New Zealand;Female;June;1;First time for travelling;49;7;By themselves;Region
49;Australia;Papua New Guinea;Female;June;1;First time for travelling;49;;By themselves;Region
49;Australia;Papua New Guinea;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Australia;Australia;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Australia;New Zealand;Female;March;1;First time for travelling;49;37;By themselves;Region
49;Australia;Papua New Guinea;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Australia;Australia;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Australia;New Zealand;Female;May;1;First time for travelling;49;41;By themselves;Region
49;Australia;Papua New Guinea;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Australia;Australia;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Australia;New Zealand;Female;November;1;First time for travelling;49;14;By themselves;Region
49;Australia;Papua New Guinea;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Australia;Australia;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Australia;New Zealand;Female;October;1;First time for travelling;49;34;By themselves;Region
49;Australia;Papua New Guinea;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Australia;Australia;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Australia;New Zealand;Female;September;1;First time for travelling;49;7;By themselves;Region
49;Australia;Papua New Guinea;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Europe;Algeria;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Europe;Bahrain;Female;April;1;First time for travelling;49;3;By themselves;Region
49;Europe;Denmark;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Europe;England;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Europe;Finland;Female;April;1;First time for travelling;49;3;By themselves;Region
49;Europe;Germany;Female;April;1;First time for travelling;49;1;By themselves;Region
49;Europe;Italy;Female;April;1;First time for travelling;49;2;By themselves;Region
49;Europe;Russia;Female;April;1;First time for travelling;49;44;By themselves;Region
49;Europe;Sweden;Female;April;1;First time for travelling;49;1;By themselves;Region
49;Europe;Algeria;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Europe;Bahrain;Female;August;1;First time for travelling;49;5;By themselves;Region
49;Europe;Denmark;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Europe;England;Female;August;1;First time for travelling;49;2;By themselves;Region
